encoder,task_suite,gap,gap_seconds,view,v11_mode,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6,mse,cosine_sim,n_train_demos,n_eval_demos,n_train_pairs,n_eval_pairs,best_epoch,elapsed_seconds,checkpoint,cell_dir
vc1,libero_object,20,1.0,agentview_rgb,,0.6804257447777162,0.7913978034756612,0.9648114659326397,0.9584531041117087,0.5973224173646381,0.6266197259315475,0.41921139593633305,0.6767187543835912,0.044752560555934906,0.8213456869125366,396,99,50679,12710,19,253.4145314693451,,vc1_libero_object_20260430_164335
vc1,libero_object,40,2.0,agentview_rgb,,0.5964711424412952,0.8048104799975724,0.978811082700443,0.9745842278486745,0.6141989664941352,0.7055628419340311,0.48836802079318886,0.5706510088770875,0.05005741864442825,0.8071681261062622,396,99,42759,10730,20,216.13210558891296,,vc1_libero_object_20260430_164335
vc1,libero_spatial,1,0.05,agentview_rgb,,0.4786863740247308,0.24888189136741512,0.5034863689841498,0.1931257367054552,-0.3016574854627849,-0.16474295848190024,0.1877406813973984,0.47876636633319825,0.0741204246878624,0.6385550498962402,396,99,49224,11571,20,243.33236265182495,,vc1_libero_spatial_20260430_164335
vc1,libero_spatial,13,0.65,agentview_rgb,,0.584710703719352,0.8024218111831333,0.8656102706189194,0.8998673734664042,0.4341141643706491,0.49645154215742404,0.4775717110905485,0.5831736722197152,0.058675616979599,0.742729127407074,396,99,44472,10383,20,219.95179629325867,,vc1_libero_spatial_20260430_164335
vc1,libero_spatial,20,1.0,agentview_rgb,,0.5523478784473979,0.845458147992157,0.8995505832575715,0.9289945776921538,0.5798739303286837,0.6223922048199722,0.5321739424627162,0.5436992517046308,0.06222955510020256,0.7366289496421814,396,99,41700,9690,20,206.40599918365479,,vc1_libero_spatial_20260430_164335
vc1,libero_spatial,40,2.0,agentview_rgb,,0.34609176317661416,0.8601972427625416,0.9440182534785195,0.9471009610906342,0.6827933124070265,0.6648708562582015,0.6324643979460045,0.2800169358577629,0.07347838580608368,0.698477029800415,396,99,33780,7710,19,167.6442174911499,,vc1_libero_spatial_20260430_164335
videomae-ours,libero_goal,1,0.05,agentview_rgb,,0.45736569687225614,0.02777131431102753,-2.8540995223478682,-0.6484607273096907,0.2418777167929732,0.3515658906717326,0.4647149492640673,0.45747904428329644,0.06822219491004944,0.6920600533485413,396,99,48794,12981,20,152.87392830848694,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_goal,13,0.65,agentview_rgb,,0.5246831661444566,0.6324427856051139,0.7235226251097884,0.785162122176446,0.5256789931046228,0.491983259984088,0.5149901886125104,0.5233802578343598,0.06559357047080994,0.7240033149719238,396,99,44042,11793,20,138.00242924690247,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_goal,20,1.0,agentview_rgb,,0.5378626424025619,0.6788100779835524,0.8687676890408448,0.8361700770451843,0.5724921863189971,0.4728385224346151,0.6328219321390445,0.530290751713087,0.06862751394510269,0.7212334871292114,396,99,41270,11100,20,129.81321358680725,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_goal,40,2.0,agentview_rgb,,0.5381900918732194,0.7811256491176298,0.9126573052105036,0.8653291984335503,0.6902935016770666,0.6295629445443367,0.7131655528758558,0.49253960685033926,0.08275159448385239,0.6938711404800415,396,99,33350,9120,20,105.6240348815918,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_165436
videomae-ours,libero_object,1,0.05,agentview_rgb,,0.654937907122514,-0.047179937742425127,0.4479315776171773,0.7495394668989228,0.02428998375764113,-1.2352698896306542,0.10576843049496887,0.655027651598594,0.04894145205616951,0.8003852963447571,396,99,58203,14591,20,183.0646414756775,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_object,13,0.65,agentview_rgb,,0.6555659221400296,0.7193312910729723,0.946397660328849,0.899636356845468,0.32219508094282145,0.5308468123173917,0.29265534419035444,0.6551177108304582,0.04857845604419708,0.8040819764137268,396,99,53451,13403,20,167.2503457069397,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_object,20,1.0,agentview_rgb,,0.6460742093307958,0.7498107268202523,0.9532413276599094,0.9236625702805155,0.37213694520741425,0.5847020173733105,0.31752078121901517,0.6432650074466784,0.04956308379769325,0.8026918172836304,396,99,50679,12710,20,158.2298390865326,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_object,40,2.0,agentview_rgb,,0.554518266474809,0.7401897843710177,0.9636563977831187,0.9449201759713335,0.3310341424223706,0.7206636101729755,0.35041644147348683,0.5304343667257696,0.05526163801550865,0.782855749130249,396,99,42759,10730,20,133.93596005439758,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_164335
videomae-ours,libero_spatial,1,0.05,agentview_rgb,,0.4078956629402516,0.1918019207572439,-0.8636917994935838,0.4858642744639541,-0.15403715605362556,0.0670010500576782,0.16602930307532382,0.40796143580191213,0.08418545871973038,0.5895124673843384,396,99,49224,11571,20,147.2032880783081,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
videomae-ours,libero_spatial,13,0.65,agentview_rgb,,0.5103684598131258,0.7786960312860352,0.8463988389908349,0.8518070035327264,0.3954120172875689,0.5943523393330855,0.3962838687342245,0.507326242407188,0.06917932629585266,0.6928742527961731,396,99,44472,10383,20,132.57165551185608,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
videomae-ours,libero_spatial,20,1.0,agentview_rgb,,0.4873281923968895,0.8038992027272579,0.8608121985213535,0.8616611035049405,0.46688837802864835,0.600875787766484,0.46540596028175896,0.47824217585726936,0.07126814872026443,0.6950290203094482,396,99,41700,9690,20,124.51550030708313,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
videomae-ours,libero_spatial,40,2.0,agentview_rgb,,0.2887378058581618,0.8056758763309253,0.9061890620122798,0.8527859542506991,0.5788834694483129,0.6228855136841147,0.5504072501309824,0.2250261951943543,0.07992313802242279,0.6707063913345337,396,99,33780,7710,20,101.32573866844177,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_164335
