encoder,task_suite,view,v11_mode,fraction,n_valid,rho_mean,rho_std,rho_median,rho_min,rho_max,length_cutoff,n_total_trajectories,n_kept_after_length_cutoff,checkpoint,cell_dir
videomae-ours,libero_goal,agentview_rgb,,1.0,476,0.6539279115999369,0.23964761479202998,0.6696602284435039,-0.39050628185263314,0.9882357084991723,204.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_131833_fracs
videomae-ours,libero_object,agentview_rgb,,0.15,476,0.8292335616841755,0.13327494822434255,0.8613747808255818,0.2844932844932845,1.0,179.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_131634_fracs
videomae-ours,libero_object,agentview_rgb,,0.3,476,0.8642362290674255,0.1339620364960652,0.9037222010294226,-0.23805905340859748,0.9933617828354669,179.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_131634_fracs
videomae-ours,libero_object,agentview_rgb,,0.5,476,0.9224129845422879,0.05029402792436757,0.9352429601928351,0.6109470229723395,0.9888695827352625,179.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_131634_fracs
videomae-ours,libero_object,agentview_rgb,,1.0,476,0.5589886790547721,0.1168485750207357,0.5682192820846408,0.15486923811798425,0.8360329214774173,179.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_125834
videomae-ours,libero_object,agentview_rgb,,1.0,476,0.5589886790547721,0.1168485750207357,0.5682192820846408,0.15486923811798425,0.8360329214774173,179.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_object_20260430_131634_fracs
videomae-ours,libero_spatial,agentview_rgb,,0.15,475,0.8542583491145912,0.19678935791060306,0.9496047430830039,0.09803921568627451,1.0,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_131634_fracs
videomae-ours,libero_spatial,agentview_rgb,,0.3,475,0.8741028031976736,0.1489483697579815,0.9289795918367346,0.0955246744720429,0.9986062717770037,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_131634_fracs
videomae-ours,libero_spatial,agentview_rgb,,0.5,475,0.7620584252199656,0.23056514541913506,0.8397507043455988,-0.19200887902330743,0.9978623506508378,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_131634_fracs
videomae-ours,libero_spatial,agentview_rgb,,1.0,475,0.7946062649873201,0.13898974011672383,0.8307382457115077,0.24897569126533597,0.9902232439571191,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_125834
videomae-ours,libero_spatial,agentview_rgb,,1.0,475,0.7946062649873201,0.13898974011672383,0.8307382457115077,0.24897569126533597,0.9902232439571191,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_spatial_20260430_131634_fracs
